accuracy,loss,val_accuracy,val_loss,epoch
1.0,0.022345056757330894,1.0,0.0006414262461476028,0
1.0,0.0005331538268364966,1.0,0.00028523665969260037,1
1.0,0.00029820698546245694,1.0,0.0001815359719330445,2
1.0,0.0002076443051919341,1.0,0.00012708254507742822,3
1.0,0.00015056165284477174,1.0,9.191378921968862e-05,4
1.0,0.00010982812091242522,1.0,7.015408482402563e-05,5
1.0,8.79112194525078e-05,1.0,5.6072261941153556e-05,6
1.0,7.156543870223686e-05,1.0,4.616070873453282e-05,7
1.0,6.0861013480462134e-05,1.0,3.871449735015631e-05,8
1.0,5.1344610255910084e-05,1.0,3.310042666271329e-05,9
1.0,4.515459659160115e-05,1.0,2.8638974981731735e-05,10
1.0,4.027134855277836e-05,1.0,2.5000714231282473e-05,11
1.0,3.447389826760627e-05,1.0,2.2065241864765994e-05,12
1.0,3.0494669772451743e-05,1.0,1.9652094124467112e-05,13
1.0,2.887224400183186e-05,1.0,1.7497523003839888e-05,14
1.0,2.579886313469615e-05,1.0,1.5667004845454358e-05,15
1.0,2.276309533044696e-05,1.0,1.4114099030848593e-05,16
1.0,2.141919503628742e-05,1.0,1.2741346836264711e-05,17
1.0,1.8708999050431885e-05,1.0,1.1565575732674915e-05,18
1.0,1.712139965093229e-05,1.0,1.0526154255785514e-05,19
1.0,1.5783200069563463e-05,1.0,9.60113902692683e-06,20
1.0,1.438600793335354e-05,1.0,8.790266292635351e-06,21
1.0,1.3410725841822568e-05,1.0,8.041709406825248e-06,22
1.0,1.2288436664675828e-05,1.0,7.380434453807538e-06,23
1.0,1.1107406862720381e-05,1.0,6.794654382247245e-06,24
1.0,1.03316215245286e-05,1.0,6.262871465878561e-06,25
1.0,9.305604180553928e-06,1.0,5.785735538665904e-06,26
1.0,9.313463124271948e-06,1.0,5.327525286702439e-06,27
1.0,8.638873623567633e-06,1.0,4.910839834337821e-06,28
1.0,7.719398126937449e-06,1.0,4.543876457319129e-06,29
1.0,7.323636509681819e-06,1.0,4.202893251203932e-06,30
1.0,6.713237326039234e-06,1.0,3.893836947099771e-06,31
1.0,6.394010142685147e-06,1.0,3.606209929785109e-06,32
1.0,5.859524662810145e-06,1.0,3.3467551929788897e-06,33
1.0,5.411974598246161e-06,1.0,3.1077818221092457e-06,34
1.0,5.534770480153384e-06,1.0,2.8746619591402123e-06,35
1.0,5.094307653052965e-06,1.0,2.6617788080329774e-06,36
1.0,4.434624315763358e-06,1.0,2.4756377570156474e-06,37
1.0,4.219823949824786e-06,1.0,2.302008397236932e-06,38
1.0,3.8321827560139354e-06,1.0,2.1461669348354917e-06,39
1.0,3.6533222100842977e-06,1.0,1.9980743672931567e-06,40
1.0,3.4021318242594134e-06,1.0,1.8641289898368996e-06,41
1.0,3.2758023280621273e-06,1.0,1.733948238324956e-06,42
1.0,3.0993205655249767e-06,1.0,1.614597522348049e-06,43
1.0,2.869137006200617e-06,1.0,1.5041067626953009e-06,44
1.0,2.7482371933729155e-06,1.0,1.4001574299982167e-06,45
1.0,2.5889569315040717e-06,1.0,1.30310013446433e-06,46
1.0,2.463609916958376e-06,1.0,1.212757979374146e-06,47
1.0,2.3002505713520804e-06,1.0,1.1292618182778824e-06,48
1.0,2.0144464087934466e-06,1.0,1.0557123459875584e-06,49
